5348fbfc-e5f8-42a0-8017-511d7eefb16b,1,15,8500,0,8500
eac59843-3917-4833-be02-b83bcf5661cd,2,3,9500,0,9500
814978b8-411d-493c-b99a-3d964aa661f4,1,1,18000,0,18000
1b09147f-df5a-45b7-8566-782e04adf8b0,1,1,18000,0,18000
f3908528-ff17-411c-9f22-e3b408de6da5,1,1,18000,0,18000
4053bed4-d0ad-4a32-88f3-45e9aadbc914,1,1,18000,0,18000
5ffd5e8a-e512-4f22-82c5-bb4405342d87,1,1,18000,1800,16200
98c6be7a-518b-4ed4-a76d-6babfcdf8b3f,1,7,3500,350,3150
266f1cae-c89b-4c29-97e5-0bc00354d69c,1,1,18000,1800,16200
460c851c-7cce-4c86-a197-20bfb186c307,1,1,18000,1800,16200
7220bd57-c1be-4099-9a93-56c41b75b043,1,1,18000,1800,16200
a27d1949-3418-48a8-b53e-f5f985e7225c,1,3,9500,950,8550
ed8392cf-281d-4521-a55e-d51d8ad014f4,1,1,18000,1800,16200
02aef8b2-18d1-4823-b7b0-83de3a464322,1,2,23000,2300,20700
e7b5bcc6-7fdd-4b25-9ec4-bc89f6085b33,1,1,18000,1800,16200
8bbdc46d-f2e5-4482-b99b-4acbd57ca873,1,1,18000,1800,16200
223c80d7-13a2-4f5f-8b6e-fcb81db59885,1,1,18000,1800,16200
3fcef193-65d7-410f-9519-605e9068434e,jinxxang,7,3500,0,3500
